superset_audited_ordered_ladder_available,superset_audited_ordered_ladder_valid,level_date,prev_date,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,superset_audited_ordered_ladder_median_abs_error,superset_audited_ordered_ladder_mean_abs_error,superset_audited_ordered_ladder_pct_within_3,superset_audited_ordered_ladder_pct_within_5,L4_audited_candidate_price,L4_actual,L4_abs_error,L4_within_3,L4_within_5,L4_audited_source,L4_audit_status,L5_audited_candidate_price,L5_actual,L5_abs_error,L5_within_3,L5_within_5,L5_audited_source,L5_audit_status,L6_audited_candidate_price,L6_actual,L6_abs_error,L6_within_3,L6_within_5,L6_audited_source,L6_audit_status,L7_audited_candidate_price,L7_actual,L7_abs_error,L7_within_3,L7_within_5,L7_audited_source,L7_audit_status
True,True,2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,27.674792,27.822396,0.0,0.0,3884.8525,3867.44,17.4125,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3871.403333,3849.38,22.023333,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3871.3175,3832.79,38.5275,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3850.32625,3817.0,33.32625,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,28.000417,24.098021,0.0,0.0,3859.91,3854.23,5.68,False,False,EXPANDED_ORACLE_BETTER,SUPERSET_OK_WITHIN_10,3857.423333,3833.88,23.543333,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3846.2075,3813.75,32.4575,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3829.61125,3794.9,34.71125,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,12.66,13.466567,0.0,0.0,3855.929982,3872.61,16.680018,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3839.41375,3851.28,11.86625,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3818.51125,3830.61,12.09875,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3797.60875,3810.83,13.22125,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,True,2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,15.075,56.286563,0.0,0.0,3948.6225,3964.13,15.5075,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3938.47,3946.24,7.77,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_10,3913.2875,3927.93,14.6425,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3897.74625,3710.52,187.22625,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR
True,True,2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,1.4125,1.745,75.0,100.0,3972.06,3970.41,1.65,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3953.365,3949.74,3.625,False,True,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_5,3930.865,3929.69,1.175,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3910.8,3910.27,0.53,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR
True,True,2025-10-09,2025-10-08,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4041.38,PREV_CLOSE_PROXY,,NEUTRAL,21.2975,45.75125,25.0,25.0,4041.38,4038.76,2.62,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4040.21,4019.13,21.08,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4023.035,4001.52,21.515,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3847.56,3985.35,137.79,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
True,False,2025-10-10,2025-10-09,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3975.96,PREV_CLOSE_PROXY,,NEUTRAL,11.88875,12.171719,25.0,25.0,3975.96,3999.31,23.35,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,3992.93,3980.31,12.62,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3973.1275,3961.97,11.1575,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,3941.680625,3943.24,1.559375,True,True,EXPANDED_ORACLE_BETTER,SUPERSET_OK_WITHIN_3
True,True,2025-10-13,2025-10-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4012.42,PREV_CLOSE_PROXY,,NEUTRAL,0.868125,2.193021,75.0,75.0,4003.8475,4010.88,7.0325,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_10,3994.056667,3994.06,0.003333,True,True,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_3,3973.4025,3974.97,1.5675,True,True,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_3,3956.63875,3956.47,0.16875,True,True,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_3
True,True,2025-10-14,2025-10-13,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4110.41,PREV_CLOSE_PROXY,,NEUTRAL,16.233125,18.28125,25.0,25.0,4110.41,4108.96,1.45,True,True,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_LOST_WITHIN_5,4086.7525,4093.64,6.8875,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4052.60125,4078.18,25.57875,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR,4022.60125,4061.81,39.20875,False,False,ORIGINAL_ORACLE_PRESERVED,EXPANSION_SUPERSET_VIOLATION_WORSE_ERROR
True,True,2025-10-15,2025-10-14,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4142.14,PREV_CLOSE_PROXY,,NEUTRAL,24.19125,25.228125,0.0,0.0,4142.14,4150.06,7.92,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_WITHIN_10,4105.3525,4135.03,29.6775,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10,4100.765,4119.47,18.705,False,False,EXPANDED_ORACLE_BETTER,SUPERSET_OK_GT10,4060.44,4105.05,44.61,False,False,ORIGINAL_ORACLE_PRESERVED,SUPERSET_OK_GT10
