level_date,prev_date,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,rolling_available_levels,superset_audited_pct_within_5,rolling_oracle_pct_within_5,rolling_selected_pct_within_5,rolling_audited_pct_within_5,rolling_audited_median_abs_error,rolling_selected_median_abs_error,rolling_recovered_within_5_pct,rolling_better_than_superset_pct,rolling_oracle_date_safe_pct,rolling_selected_date_safe_pct,rolling_ordered_ladder_valid,rolling_ordered_ladder_median_abs_error,rolling_ordered_ladder_pct_within_5
2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,27.674792,27.674792,0.0,0.0,100.0,100.0,True,27.674792,0.0
2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,28.000417,28.000417,0.0,0.0,100.0,100.0,True,28.000417,0.0
2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,12.66,12.66,0.0,0.0,100.0,100.0,True,12.66,0.0
2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,15.075,15.075,0.0,0.0,100.0,100.0,True,15.075,0.0
2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,4,100.0,100.0,75.0,100.0,0.8525,2.099584,0.0,50.0,100.0,100.0,True,0.8525,100.0
2025-10-09,2025-10-08,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4041.38,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,50.0,0.0,50.0,5.942917,18.8975,25.0,100.0,100.0,100.0,True,5.942917,50.0
2025-10-10,2025-10-09,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3975.96,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,75.0,50.0,75.0,0.766485,9.3775,50.0,100.0,100.0,100.0,True,0.766485,75.0
2025-10-13,2025-10-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4012.42,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,50.0,100.0,0.13625,8.176666,25.0,25.0,100.0,100.0,True,0.13625,100.0
2025-10-14,2025-10-13,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4110.41,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,50.0,0.0,50.0,11.6425,20.221667,25.0,100.0,100.0,100.0,True,11.6425,50.0
2025-10-15,2025-10-14,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4142.14,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,25.0,0.0,25.0,12.20875,24.777083,25.0,100.0,100.0,100.0,True,12.20875,25.0
2025-10-16,2025-10-15,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4208.11,PREV_CLOSE_PROXY,,NEUTRAL,4,50.0,100.0,50.0,100.0,0.756583,6.20993,50.0,100.0,100.0,100.0,True,0.756583,100.0
2025-10-17,2025-10-16,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4325.92,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,75.0,0.0,75.0,1.58875,14.050235,75.0,100.0,100.0,100.0,True,1.58875,75.0
