level_date,prev_date,range_bucket,close_position_bucket,rows_bucket,prediction_available_levels,missing_prediction_levels,cluster_gap_points,top1_cluster_pct_within_3,top1_cluster_pct_within_5,top3_cluster_pct_within_3,top3_cluster_pct_within_5,best_cluster_median_abs_error,best_cluster_mean_abs_error,best_cluster_pct_within_3,best_cluster_pct_within_5,top1_cluster_median_abs_error,cluster_band_median_width,ordered_ladder_valid,ordered_ladder_median_abs_error,ordered_ladder_pct_within_3,ordered_ladder_pct_within_5
2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4,0,5.0,0.0,0.0,0.0,0.0,27.674792,27.822396,0.0,0.0,27.674792,0.0,True,27.674792,0.0,0.0
2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,5.0,0.0,0.0,0.0,0.0,28.000417,28.451146,0.0,0.0,28.000417,0.0,True,28.000417,0.0,0.0
2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,5.0,0.0,0.0,0.0,0.0,12.66,13.466567,0.0,0.0,12.66,0.0,True,12.66,0.0,0.0
2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,5.0,0.0,0.0,0.0,0.0,15.075,56.286563,0.0,0.0,15.075,0.0,True,15.075,0.0,0.0
2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,5.0,75.0,100.0,75.0,100.0,1.4125,1.745,75.0,100.0,1.4125,0.0,True,1.4125,75.0,100.0
2025-10-09,2025-10-08,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,5.0,25.0,25.0,25.0,25.0,21.2975,45.75125,25.0,25.0,21.2975,0.0,True,21.2975,25.0,25.0
2025-10-10,2025-10-09,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4,0,5.0,25.0,25.0,25.0,25.0,11.88875,12.181875,25.0,25.0,17.578125,0.0,True,17.578125,25.0,25.0
2025-10-13,2025-10-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,5.0,75.0,75.0,75.0,75.0,0.868125,2.193021,75.0,75.0,0.868125,0.0,True,0.868125,75.0,75.0
2025-10-14,2025-10-13,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,5.0,0.0,0.0,0.0,0.0,16.233125,18.28125,25.0,25.0,34.626255,0.0,True,34.626255,0.0,0.0
2025-10-15,2025-10-14,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,5.0,0.0,0.0,0.0,0.0,29.44125,27.853125,0.0,0.0,29.44125,0.0,True,29.44125,0.0,0.0
2025-10-16,2025-10-15,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,5.0,25.0,50.0,50.0,50.0,5.49618,6.00559,50.0,50.0,5.71243,0.3175,True,5.71243,25.0,50.0
2025-10-17,2025-10-16,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,5.0,0.0,0.0,0.0,0.0,12.755625,11.998125,0.0,0.0,12.755625,0.0,True,12.755625,0.0,0.0
2025-10-20,2025-10-17,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,5.0,0.0,0.0,0.0,0.0,77.105312,71.916094,0.0,0.0,90.019063,0.0,True,90.019063,0.0,0.0
2025-10-21,2025-10-20,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,5.0,0.0,25.0,0.0,25.0,35.17,33.04,0.0,25.0,35.17,0.0,True,35.17,0.0,25.0
2025-10-22,2025-10-21,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,5.0,0.0,0.0,0.0,0.0,51.3375,51.281562,0.0,0.0,56.525625,0.0,True,56.525625,0.0,0.0
2025-10-23,2025-10-22,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,5.0,0.0,0.0,0.0,0.0,83.695651,81.624075,0.0,0.0,83.695651,0.0,True,83.695651,0.0,0.0
2025-10-24,2025-10-23,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,5.0,0.0,0.0,25.0,25.0,18.74625,17.776042,25.0,25.0,18.74625,0.851875,True,18.74625,0.0,0.0
2025-10-27,2025-10-24,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,5.0,25.0,25.0,25.0,50.0,5.90875,5.536562,25.0,50.0,8.618575,0.0,True,8.618575,25.0,25.0
2025-10-28,2025-10-27,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,5.0,25.0,25.0,25.0,50.0,4.34962,6.02356,25.0,50.0,16.295,0.0,True,34.4675,0.0,0.0
2025-10-29,2025-10-28,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,5.0,0.0,0.0,0.0,0.0,21.0071,19.536675,0.0,0.0,55.971689,0.0,True,85.702939,0.0,0.0
2025-10-30,2025-10-29,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,5.0,0.0,0.0,0.0,0.0,98.775625,99.005625,0.0,0.0,98.775625,0.0,True,98.775625,0.0,0.0
