level_date,prev_date,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,prediction_available_levels,missing_prediction_levels,routed_top1_pct_within_3,routed_top1_pct_within_5,routed_top3_pct_within_3,routed_top3_pct_within_5,routed_best_median_abs_error,routed_best_mean_abs_error,routed_best_pct_within_3,routed_best_pct_within_5,routed_top1_median_abs_error,routed_mean_confidence_score,routed_ordered_ladder_valid,routed_ordered_ladder_median_abs_error,routed_ordered_ladder_pct_within_3,routed_ordered_ladder_pct_within_5,routed_bracketed_by_L5_L6
2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,27.674792,27.822396,0.0,0.0,27.674792,0.0,True,27.674792,0.0,0.0,False
2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,28.000417,28.451146,0.0,0.0,28.000417,8.726413,True,28.000417,0.0,0.0,True
2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,12.66,13.466567,0.0,0.0,12.66,9.270763,True,12.66,0.0,0.0,False
2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,15.075,56.286563,0.0,0.0,15.075,10.630237,True,15.075,0.0,0.0,False
2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,4,0,75.0,100.0,75.0,100.0,1.4125,1.745,75.0,100.0,1.4125,13.852036,True,1.4125,75.0,100.0,False
2025-10-09,2025-10-08,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4041.38,PREV_CLOSE_PROXY,,NEUTRAL,4,0,25.0,25.0,25.0,25.0,21.2975,45.75125,25.0,25.0,21.2975,11.8622,True,21.2975,25.0,25.0,False
2025-10-10,2025-10-09,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3975.96,PREV_CLOSE_PROXY,,NEUTRAL,4,0,25.0,25.0,25.0,25.0,11.88875,12.181875,25.0,25.0,17.670625,18.955205,True,17.578125,25.0,25.0,True
2025-10-13,2025-10-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4012.42,PREV_CLOSE_PROXY,,NEUTRAL,4,0,75.0,75.0,75.0,75.0,0.868125,2.193021,75.0,75.0,0.868125,14.683925,True,0.868125,75.0,75.0,False
2025-10-14,2025-10-13,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4110.41,PREV_CLOSE_PROXY,,NEUTRAL,4,0,25.0,25.0,25.0,25.0,16.233125,18.28125,25.0,25.0,16.233125,23.277237,True,16.233125,25.0,25.0,False
2025-10-15,2025-10-14,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4142.14,PREV_CLOSE_PROXY,,NEUTRAL,4,0,0.0,0.0,0.0,0.0,29.44125,27.853125,0.0,0.0,29.44125,8.457588,True,29.44125,0.0,0.0,False
