level_date,prev_date,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,selector_available_levels,superset_audited_pct_within_5,rolling_oracle_pct_within_5,selector_pct_within_5,selector_pct_within_3,selector_median_abs_error,selector_recovered_within_5_pct,selector_better_than_superset_pct,selector_date_safe_pct,ladder_selector_available,ladder_selector_valid,ladder_selector_pct_within_5,ladder_selector_pct_within_3,ladder_selector_median_abs_error
2025-10-02,2025-10-01,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,27.674792,0.0,0.0,100.0,True,True,0.0,0.0,27.674792
2025-10-03,2025-10-02,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,28.000417,0.0,0.0,100.0,True,True,0.0,0.0,28.000417
2025-10-06,2025-10-03,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,12.66,0.0,0.0,100.0,True,True,0.0,0.0,12.66
2025-10-07,2025-10-06,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,0.0,0.0,0.0,15.075,0.0,0.0,100.0,True,True,0.0,0.0,15.075
2025-10-08,2025-10-07,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,4,100.0,100.0,75.0,50.0,2.16125,0.0,25.0,100.0,True,True,75.0,50.0,2.16125
2025-10-09,2025-10-08,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4041.38,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,50.0,25.0,25.0,18.8975,0.0,100.0,100.0,True,True,25.0,25.0,18.8975
2025-10-10,2025-10-09,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3975.96,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,75.0,50.0,25.0,7.669132,25.0,25.0,100.0,True,False,50.0,25.0,7.669132
2025-10-13,2025-10-10,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4012.42,PREV_CLOSE_PROXY,,NEUTRAL,4,75.0,100.0,50.0,25.0,6.155416,0.0,0.0,100.0,True,True,50.0,25.0,6.155416
2025-10-14,2025-10-13,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4110.41,PREV_CLOSE_PROXY,,NEUTRAL,4,25.0,50.0,25.0,0.0,21.790286,0.0,0.0,100.0,True,True,25.0,0.0,21.790286
2025-10-15,2025-10-14,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4142.14,PREV_CLOSE_PROXY,,NEUTRAL,4,0.0,25.0,0.0,0.0,24.86974,0.0,25.0,100.0,True,True,0.0,0.0,24.86974
